"F [1427,1656] var1","Finally [1427,1656] var1","{'eventually': {'bound': (1427, 1656), 'expression': 'var1'}}","The formula states that eventually, from time 1427 to 1656, var1 will be true."
(var2 || var3),(var2 or var3),"{'or': ['var2', 'var3']}",The formula evaluates to true if either var2 or var3 is true.
(var4 && var5),(var4 and var5),"{'and': ['var4', 'var5']}",The formula is the logical AND of variables var4 and var5.
"F [777,1915] var6","Finally [777,1915] var6","{'eventually': {'bound': (777, 1915), 'expression': 'var6'}}","The formula is ""Eventually from time 777 to 1915, var6 is true."""
"(var7 until [340,829] var8)","(var7 until [340,829] var8)","{'until': {'bound': (340, 829), 'expressions': ['var7', 'var8']}}","The formula represents an expression that holds true from time 340 to time 829, where the value of var7 is true until var8 becomes true."
"G [224,1953] (var9)","Always [224,1953] (var9)","{'globally': {'bound': (224, 1953), 'expression': 'var9'}}",The formula is true from time 224 to 1953 if var9 is true.
"G [1822,1836] (var10)","Always [1822,1836] (var10)","{'globally': {'bound': (1822, 1836), 'expression': 'var10'}}","The formula states that the variable var10 is true from time 1822 to 1836, continuously."
"(var11 until [1265,1391] var12)","(var11 until [1265,1391] var12)","{'until': {'bound': (1265, 1391), 'expressions': ['var11', 'var12']}}","The formula represents the expression ""var11 until var12 from time 1265 to 1391""."
(var13 && var14),(var13 and var14),"{'and': ['var13', 'var14']}",The formula is a conjunction of var13 and var14.
(var15 || var16),(var15 or var16),"{'or': ['var15', 'var16']}",This formula represents a disjunction (OR) between variables var15 and var16.
"(var17 until [427,1983] var18)","(var17 until [427,1983] var18)","{'until': {'bound': (427, 1983), 'expressions': ['var17', 'var18']}}","The formula evaluates to true from time 427 to 1983, as long as var17 is true until var18 becomes true."
"F [742,1128] var19","Finally [742,1128] var19","{'eventually': {'bound': (742, 1128), 'expression': 'var19'}}","The formula F [742,1128] var19 describes an event that will eventually occur from time 742 to 1128, based on the variable var19."
(var20 || var21),(var20 or var21),"{'or': ['var20', 'var21']}",This formula represents a logical OR operation between variable var20 and variable var21.
(var22 || var23),(var22 or var23),"{'or': ['var22', 'var23']}",This formula represents the logical OR operation between the variables var22 and var23.
"(var24 until [1273,1988] var25)","(var24 until [1273,1988] var25)","{'until': {'bound': (1273, 1988), 'expressions': ['var24', 'var25']}}","The formula represents the expression ""var24 until var25"" from time 1273 to 1988."
not var26,not var26,{'not': 'var26'},The formula is the negation of var26.
"F [906,1614] var27","Finally [906,1614] var27","{'eventually': {'bound': (906, 1614), 'expression': 'var27'}}",The formula represents the eventuality of the variable var27 occurring from time 906 to 1614.
"(var28 until [1148,1246] var29)","(var28 until [1148,1246] var29)","{'until': {'bound': (1148, 1246), 'expressions': ['var28', 'var29']}}",This formula represents the condition where 'var28' holds true from time 1148 to 1246 until 'var29' becomes true.
"(var30 until [578,1045] var31)","(var30 until [578,1045] var31)","{'until': {'bound': (578, 1045), 'expressions': ['var30', 'var31']}}",The formula represents the expression 'var30' until 'var31' from time 578 to 1045.
"(var32 until [1529,1947] var33)","(var32 until [1529,1947] var33)","{'until': {'bound': (1529, 1947), 'expressions': ['var32', 'var33']}}",The formula states that var32 is true from time 1529 to 1947 until var33 becomes true.
(var34 || var35),(var34 or var35),"{'or': ['var34', 'var35']}",The formula represents a logical OR operation between variables var34 and var35.
(var36 && var37),(var36 and var37),"{'and': ['var36', 'var37']}",This formula evaluates to true if both var36 and var37 are true.
not var38,not var38,{'not': 'var38'},The formula is the negation of the variable var38.
"G [1733,1983] (var39)","Always [1733,1983] (var39)","{'globally': {'bound': (1733, 1983), 'expression': 'var39'}}",The formula represents a globally bound expression that is true from time 1733 to 1983 for the variable var39.
"(var40 until [1406,1998] var41)","(var40 until [1406,1998] var41)","{'until': {'bound': (1406, 1998), 'expressions': ['var40', 'var41']}}",The formula represents var40 until var41 from time 1406 to 1998.
(var42 || var43),(var42 or var43),"{'or': ['var42', 'var43']}",This formula represents either var42 or var43 from time a to b.
"G [1246,1273] (var44)","Always [1246,1273] (var44)","{'globally': {'bound': (1246, 1273), 'expression': 'var44'}}",The formula expresses that the variable 44 is true from time 1246 to 1273 and remains true throughout that time.
"F [1056,1112] var45","Finally [1056,1112] var45","{'eventually': {'bound': (1056, 1112), 'expression': 'var45'}}",The formula expresses the eventuality of a variable var45 from time 1056 to 1112.
"F [1876,1934] var46","Finally [1876,1934] var46","{'eventually': {'bound': (1876, 1934), 'expression': 'var46'}}",The formula states that var46 eventually occurs from time 1876 to 1934.
not var47,not var47,{'not': 'var47'},The formula is the negation of var47.
"G [1383,1592] (var48)","Always [1383,1592] (var48)","{'globally': {'bound': (1383, 1592), 'expression': 'var48'}}","The formula states that the variable var48 holds true from time 1383 to 1592, continuously."
